,mi,ha,ar,ab,p,ao,lt,lg,v
0,5.8735,35.0,5.811638591117919,1.0566615620214397,1521.0,2.329249617151608,34.11,-118.63,4.481
1,1.4688,8.0,10.0,1.9166666666666667,63.0,2.625,33.32,-115.98,0.5379999999999999
2,2.1603,28.0,4.808172531214528,0.9954597048808173,2008.0,2.2792281498297395,38.74,-120.78,1.113
3,4.7404,43.0,5.855140186915888,1.0093457943925233,967.0,2.2593457943925235,37.58,-122.37,5.00001
4,3.2617,10.0,3.9291417165668654,1.0518962075848304,2032.0,2.0279441117764465,37.45,-121.92,2.522
5,4.6625,14.0,5.554006968641115,1.0174216027874563,887.0,3.0905923344947737,37.58,-121.47,2.94
6,15.0001,37.0,9.333333333333334,1.0378006872852237,809.0,2.7800687285223367,34.09,-118.41,5.00001
7,3.6058,46.0,5.234649122807016,1.0701754385964912,1181.0,2.5899122807017543,34.14,-118.19,2.579
8,2.7212,39.0,3.9673202614379086,1.0359477124183007,1312.0,2.1437908496732025,33.77,-118.15,2.6630000000000003
9,4.7222,30.0,6.424691358024691,0.9901234567901236,981.0,2.4222222222222216,38.67,-121.79,1.672
10,2.3203,21.0,4.439446366782007,0.9619377162629758,684.0,2.366782006920415,32.83,-116.93,1.635
11,3.0964,31.0,4.566795366795367,1.0108108108108107,2999.0,2.3158301158301158,37.69,-122.07,1.905
12,2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4
13,4.1652,4.0,4.0325,1.0475,1666.0,2.0825,33.68,-117.83,1.845
14,6.5784,38.0,6.327402135231317,1.0249110320284698,870.0,3.096085409252669,34.12,-118.02,4.085
15,5.0056,30.0,3.0,0.875,74.0,4.625,34.17,-118.3,1.625
16,2.2071,34.0,5.71712158808933,1.084367245657568,1506.0,3.73697270471464,35.49,-119.38,0.6459999999999999
17,2.4925,28.0,3.6754491017964073,1.0347305389221555,1932.0,2.31377245508982,33.92,-118.13,1.7719999999999998
18,8.4438,16.0,7.512195121951219,1.0,1902.0,3.313588850174216,34.22,-118.64,3.9
19,2.0556,52.0,4.775956284153006,0.989071038251366,1029.0,2.8114754098360657,37.77,-122.18,1.0
20,6.4209,52.0,4.737171464330413,1.0112640801001251,1371.0,1.7158948685857325,37.79,-122.44,5.00001
21,1.7708,9.0,4.152284263959391,1.0,358.0,1.8172588832487309,39.52,-121.56,0.795
22,2.325,32.0,6.344827586206898,1.088669950738916,562.0,2.768472906403941,39.78,-122.16,0.696
23,3.4702,25.0,4.593333333333334,1.068,2400.0,3.2,33.93,-117.95,1.619
24,2.1653,16.0,4.625482625482626,1.0154440154440154,1338.0,2.583011583011583,36.8,-119.72,0.7879999999999999
25,3.8958,6.0,4.267015706806283,1.029668411867365,1189.0,2.075043630017452,37.63,-122.02,3.011
26,1.4167,25.0,2.200278164116829,1.0848400556328233,2390.0,3.3240611961057023,34.04,-118.28,2.0
27,5.0818,35.0,5.188405797101449,0.9681159420289857,1277.0,3.701449275362319,34.22,-118.39,1.868
28,2.1977,17.0,2.7805755395683454,1.0647482014388492,2423.0,4.357913669064748,34.18,-118.44,1.5419999999999998
29,3.8421,29.0,4.676470588235294,1.0058823529411764,1788.0,3.5058823529411764,37.46,-121.9,2.207
30,2.567,18.0,5.022556390977443,1.0018796992481205,1151.0,2.1635338345864663,39.79,-121.6,1.029
31,1.5923,52.0,5.537423312883433,1.2085889570552146,1926.0,2.36319018404908,41.2,-122.27,0.56
32,2.6182,34.0,3.234,0.986,1530.0,3.06,33.91,-118.3,1.726
33,3.3611,36.0,5.911764705882352,0.9656862745098042,537.0,2.6323529411764706,39.16,-121.58,0.7979999999999999
34,2.1898,28.0,3.865619546247818,1.024432809773124,830.0,1.4485165794066317,37.73,-122.15,1.4169999999999998
35,1.4481,25.0,3.4057377049180326,0.9426229508196722,947.0,3.881147540983607,36.62,-119.31,0.517
36,3.8015,24.0,5.488738738738738,0.9864864864864864,1430.0,3.2207207207207214,36.61,-121.82,1.6909999999999998
37,4.2434,27.0,5.31545741324921,1.0757097791798107,757.0,2.3880126182965298,34.12,-118.08,2.705
38,5.9897,8.0,6.125,0.9435483870967742,711.0,2.8669354838709675,36.85,-119.77,1.236
39,3.16,23.0,3.8088235294117654,1.0661764705882353,1795.0,2.639705882352941,37.34,-122.04,2.25
40,1.3125,10.0,4.438356164383562,0.9680365296803652,773.0,3.529680365296804,33.94,-117.28,1.357
41,5.0853,26.0,5.916496945010183,1.0264765784114054,1452.0,2.957230142566192,33.68,-117.89,2.603
42,2.8462,39.0,3.861035422343324,0.9782016348773842,1450.0,3.9509536784741135,33.79,-118.27,1.72
43,3.0,2.0,7.069343065693432,1.2773722627737227,756.0,2.759124087591241,40.58,-122.32,1.142
44,4.2813,39.0,4.647058823529412,0.9673202614379084,347.0,2.2679738562091503,34.01,-118.46,2.972
45,4.6713,33.0,4.643097643097644,0.8552188552188552,795.0,2.676767676767677,33.87,-118.11,2.318
46,5.299,12.0,7.214932126696832,1.0475113122171946,1200.0,2.7149321266968327,34.91,-120.44,2.268
47,1.7719,26.0,6.047244094488188,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29,0.825
48,4.0911,19.0,4.802098950524738,1.0614692653673163,1761.0,2.640179910044977,33.88,-118.11,2.397
49,3.2321,40.0,4.280821917808218,1.0502283105022832,869.0,1.9840182648401827,34.16,-118.3,2.436
50,1.5313,19.0,5.609489051094892,1.2007299270072993,617.0,2.2518248175182483,39.49,-121.53,0.503
51,5.5,45.0,6.482558139534882,1.0581395348837208,949.0,2.7587209302325584,33.97,-118.34,1.882
52,3.5954,13.0,5.387195121951219,1.0416666666666667,2870.0,2.9166666666666665,34.04,-117.7,1.63
